name;geo;dbType
GestionCorp;ES;B2B
Gestão Negócios ;PT;B2B
Idee Del Giorno;IT;B2C
Coin Affaires;FR;B2B
Smart Deals;ES;Mixed
Conso-Autokoo;FR;B2C
TuOpinion SMS;ES;B2C
Gestione Impresa;IT;B2B
TuOpinion;ES;B2C
Canada;CA;B2B
PromoMex;MX;B2C
Biz Data Hub;UK;B2B
Argentina;AR;B2B
Chile;CL;B2B
World Scope Deals;MULTI;Mixed
Conso Enquête;FR;B2C
Autokoo;FR;B2C
Markt Fusion;BE;B2B
Nexo Profesional;ES;B2B
Brit Consumer Net;UK;B2C
Vida Conexão;PT;B2C
Datavision;FR;B2C
Connessione Clienti;IT;B2C
Rete Aziendale;IT;B2B
Sconti Subito;IT;B2C
Soluções pro;PT;B2B
Netherlands;NL;B2B
Ireland;IR;B2B
Poland;PL;B2B
Autcon;FR;B2C
Belgian Bazaar;BE;B2C
Piazza Digitale;IT;B2C
Impresa Connect;IT;B2B
Greengo;IT;B2C
Gestão Negócios B2B PT;PT;B2B
Soluções Pro;PT;B2B
RedCom;ES;B2B
The coupon party;FR;B2C
SynerCom;FR;B2B
