name;invoiceoffice
Adkomo;CAR
ADS Enterprise;CAR
Companeo;CAR
Dataventure (Cardata);Internal
nova digital;CAR
Oceads;CAR
Swarmiz;CAR
TimeOne Performance;CAR
Weedoit;CAR
Across;DAT
Adpepper;DAT
Dataventure (Adventure Conseil);Internal
Dataventure (Datawork Marketing);Internal
Feebbo;DAT
Media Adgo;DAT
RePublish;DAT
Startend Marketing;DAT
Mailxpertise (Routing Costs);CAR
Webdataconsulting;CAR
CleverAd;DAT
Cognetrix Global;DAT
Loud Europe;DAT
Lovvis Advertising SL;DAT
leadiya;CAR
digitalmedia;DAT
LetsRockData;DAT
Kwanko;CAR
